,Pos,avg_war_won,total_war_won,pos_war_lost,total_war_lost,total_player_war
Martin Montoya,D,-0.19779999999999998,-4.5493999999999994,-0.09039999999999998,-1.3559999999999997,-5.905399999999999
Steven Bergwijn,F,-0.15899999999999997,-1.2719999999999998,-0.15460000000000002,-4.638000000000001,-5.91
Arnaut Danjuma Groeneveld,F,-0.16560000000000002,-0.9936000000000001,-0.15460000000000002,-4.9472000000000005,-5.9408
Michael Obafemi,F,-0.16560000000000002,-1.3248000000000002,-0.15460000000000002,-4.638000000000001,-5.962800000000001
DeAndre Yedlin,D,-0.3432,-3.432,-0.09039999999999998,-2.5311999999999992,-5.963199999999999
Matej Vydra,F,-0.16899999999999998,-1.1829999999999998,-0.15460000000000002,-4.7926,-5.9756
Hamza Choudhury,M,-0.3002,-3.0020000000000002,-0.10659999999999997,-2.984799999999999,-5.986799999999999
Paul Dummett,D,-0.2734,-3.8275999999999994,-0.09039999999999998,-2.1695999999999995,-5.997199999999999
Kiko Femenia,D,-0.1896,-4.9296,-0.09039999999999998,-1.0847999999999998,-6.014399999999999
Neil Taylor,D,-0.3254,-3.5794,-0.09039999999999998,-2.4407999999999994,-6.020199999999999
